CECAD ID	Tail	Pre BW	BW	ul inject 10/g BW	0	15	30	60	120	Genotype					
410	I		31.48	320	92	427	434	449	183	WT					
414	------		30.36	300	88	419	441	328	179	HET					
416	II		34.92	350	94	508	588	323	156	WT					
417	III		31.68	320	100	395	471	375	253	WT					
418			28.24	280	88	450	458	313	175	KO					
424	I		34.83	350	96	520	599	463	233	KO					
428	II		34.79	350	121	463	567	379	113	HET					
434			26.16	260	79	312	437	324	162	WT					
435	I		34.73	350	89	308	404	330	188	WT					
436	II		38.17	380	122	473	506	383	248	HET					
439			26.88	270	108	378	387	342	182	HET					
440	I		24.44	240	77	349	369	271	136	WT					
441	II		24.29	240	98	497	513	397	168	HET					
448			34.41	340	99	521	533	203	178	KO					
451	I		29.8	300	83	358	492	301	161	WT					
457	I		25.52	260	77	414	446	292	137	HET					
458	II		24.89	250	102	442	520	384	174	WT					
459			25.3	250	100	500	498	295	155	WT					
465			36.91	370	122	528	503	417	393	KO					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
