SUBJECT;SEX;AGE;GROUP;CYCLE;PHASE;SUPPRESSION;RANDDATA
1;1;23;AB;1;I;1;45
2;1;19;AB;1;I;21;44
3;1;19;AB;1;I;15;6
4;1;23;AB;1;I;30;36
5;0;21;AB;1;I;11;37
6;0;23;AB;1;I;16;34
7;1;19;AB;1;I;7;43
8;1;23;AB;1;I;0;11
1;0;20;AB;1;II;28;43
2;0;24;AB;1;II;21;45
3;0;20;AB;1;II;17;33
4;0;22;AB;1;II;34;42
5;1;19;AB;1;II;23;25
6;1;18;AB;1;II;11;14
7;1;20;AB;1;II;26;43
8;0;18;AB;1;II;22;27
1;1;19;AB;2;I;22;41
2;1;21;AB;2;I;16;25
3;0;23;AB;2;I;13;43
4;0;19;AB;2;I;55;6
5;1;23;AB;2;I;12;40
6;0;20;AB;2;I;18;23
7;0;23;AB;2;I;29;20
8;0;20;AB;2;I;23;7
1;1;24;AB;2;II;48;38
2;1;20;AB;2;II;40;13
3;0;21;AB;2;II;35;9
4;0;18;AB;2;II;54;49
5;1;21;AB;2;II;33;41
6;1;21;AB;2;II;34;41
7;1;20;AB;2;II;40;25
8;0;19;AB;2;II;45;39
1;1;20;AB;3;I;22;12
2;0;19;AB;3;I;15;4
3;0;18;AB;3;I;22;6
4;1;20;AB;3;I;37;31
5;0;20;AB;3;I;10;46
6;1;18;AB;3;I;11;1
7;1;24;AB;3;I;25;44
8;0;25;AB;3;I;18;25
1;1;25;AB;3;II;50;39
2;1;24;AB;3;II;39;26
3;1;20;AB;3;II;45;14
4;1;25;AB;3;II;57;40
5;1;18;AB;3;II;50;28
6;0;20;AB;3;II;40;13
7;0;19;AB;3;II;50;11
8;1;20;AB;3;II;38;31
1;1;23;AB;4;I;14;43
2;0;18;AB;4;I;11;34
3;1;24;AB;4;I;1;7
4;0;21;AB;4;I;57;19
5;1;18;AB;4;I;8;33
6;1;24;AB;4;I;5;24
7;1;25;AB;4;I;14;19
8;0;20;AB;4;I;15;35
1;0;18;AB;4;II;48;35
2;1;22;AB;4;II;56;12
3;1;22;AB;4;II;43;17
4;0;20;AB;4;II;68;26
5;1;25;AB;4;II;53;30
6;1;25;AB;4;II;40;45
7;1;18;AB;4;II;56;6
8;1;24;AB;4;II;50;0
9;1;23;AA;1;I;1;12
10;0;21;AA;1;I;37;40
11;0;18;AA;1;I;18;2
12;0;18;AA;1;I;1;2
13;0;18;AA;1;I;44;30
14;0;19;AA;1;I;15;36
15;0;22;AA;1;I;0;3
16;1;22;AA;1;I;26;22
9;0;22;AA;1;II;6;6
10;0;25;AA;1;II;59;36
11;0;25;AA;1;II;43;22
12;0;20;AA;1;II;2;29
13;1;19;AA;1;II;25;5
14;1;20;AA;1;II;14;48
15;1;18;AA;1;II;3;19
16;1;20;AA;1;II;15;41
9;1;20;AA;2;I;16;26
10;0;18;AA;2;I;28;16
11;0;24;AA;2;I;38;45
12;1;23;AA;2;I;9;34
13;0;25;AA;2;I;28;38
14;0;18;AA;2;I;22;22
15;1;25;AA;2;I;7;1
16;1;20;AA;2;I;31;9
9;1;24;AA;2;II;8;4
10;1;25;AA;2;II;36;9
11;0;24;AA;2;II;50;22
12;1;22;AA;2;II;8;21
13;1;23;AA;2;II;42;40
14;1;18;AA;2;II;32;10
15;0;18;AA;2;II;17;13
16;0;19;AA;2;II;32;19
9;0;21;AA;3;I;9;3
10;0;21;AA;3;I;34;14
11;0;20;AA;3;I;39;16
12;0;22;AA;3;I;6;2
13;0;23;AA;3;I;47;27
14;1;23;AA;3;I;16;26
15;0;25;AA;3;I;6;2
16;1;23;AA;3;I;28;2
9;1;18;AA;3;II;14;37
10;1;25;AA;3;II;32;5
11;0;20;AA;3;II;15;4
12;1;18;AA;3;II;5;8
13;0;22;AA;3;II;46;45
14;1;20;AA;3;II;23;37
15;1;20;AA;3;II;9;48
16;0;18;AA;3;II;22;20
9;1;22;AA;4;I;11;45
10;0;23;AA;4;I;26;47
11;1;22;AA;4;I;29;11
12;0;25;AA;4;I;5;25
13;0;22;AA;4;I;33;21
14;0;23;AA;4;I;32;43
15;1;20;AA;4;I;10;28
16;0;22;AA;4;I;16;41
9;0;23;AA;4;II;33;21
10;0;23;AA;4;II;37;37
11;0;21;AA;4;II;18;15
12;1;24;AA;4;II;15;40
13;1;19;AA;4;II;35;23
14;1;18;AA;4;II;26;40
15;0;19;AA;4;II;15;35
16;0;24;AA;4;II;15;19
17;0;23;LAB;1;I;33;21
18;1;20;LAB;1;I;4;46
19;1;19;LAB;1;I;32;11
20;0;20;LAB;1;I;17;41
21;1;25;LAB;1;I;44;23
22;1;18;LAB;1;I;12;25
23;1;18;LAB;1;I;18;9
24;0;25;LAB;1;I;13;1
17;1;23;LAB;1;II;43;50
18;0;22;LAB;1;II;35;2
19;0;23;LAB;1;II;39;46
20;1;20;LAB;1;II;34;11
21;1;18;LAB;1;II;52;41
22;1;23;LAB;1;II;16;42
23;0;25;LAB;1;II;42;19
24;0;23;LAB;1;II;29;30
17;1;22;LAB;2;I;40;2
18;0;20;LAB;2;I;9;12
19;1;19;LAB;2;I;38;0
20;1;24;LAB;2;I;21;12
21;1;21;LAB;2;I;37;21
22;0;24;LAB;2;I;9;22
23;1;18;LAB;2;I;3;1
24;0;20;LAB;2;I;14;43
17;1;24;LAB;2;II;52;33
18;0;24;LAB;2;II;42;49
19;1;23;LAB;2;II;47;16
20;1;19;LAB;2;II;41;20
21;1;24;LAB;2;II;48;39
22;1;18;LAB;2;II;39;50
23;0;25;LAB;2;II;62;8
24;0;19;LAB;2;II;44;18
17;0;23;LAB;3;I;39;18
18;1;21;LAB;3;I;4;1
19;0;22;LAB;3;I;24;16
20;0;25;LAB;3;I;27;15
21;0;25;LAB;3;I;33;17
22;0;23;LAB;3;I;9;27
23;1;19;LAB;3;I;45;21
24;0;24;LAB;3;I;9;6
17;1;21;LAB;3;II;52;27
18;1;23;LAB;3;II;46;49
19;0;25;LAB;3;II;44;32
20;0;24;LAB;3;II;50;5
21;1;22;LAB;3;II;53;44
22;0;25;LAB;3;II;59;30
23;1;20;LAB;3;II;49;26
24;0;24;LAB;3;II;50;7
17;1;20;LAB;4;I;38;24
18;1;23;LAB;4;I;23;37
19;1;25;LAB;4;I;16;42
20;1;22;LAB;4;I;13;8
21;1;21;LAB;4;I;33;31
22;1;19;LAB;4;I;13;39
23;0;25;LAB;4;I;60;36
24;0;22;LAB;4;I;15;42
17;0;25;LAB;4;II;48;30
18;0;23;LAB;4;II;51;34
19;1;18;LAB;4;II;40;14
20;1;24;LAB;4;II;40;20
21;1;22;LAB;4;II;43;21
22;0;20;LAB;4;II;45;37
23;0;24;LAB;4;II;57;26
24;0;22;LAB;4;II;48;46
