Uniprot	a	b	c	d	e
abc1	0.786438837	0.972477398	3.389370454	3.718873699	3.548892586
abc2	0.561059755	0.799542157	0.487248768	0.679250152	0.94927522
abc3	0.862588643	0.638751056	0.434858893	0.621304393	0.635898148
abc4;abc5	0.961924889	0.577961689	0.850725843	0.1740261	0.413235792
abc6	0.911559886	0.358151215	0.048463592	0.608271132	0.687769911
abc7;uu	0.483718773	NaN	NaN	NaN	NaN
abc8;asda2	0.136634774	0.674697021	0.819752379	0.876092367	0.386466173
abc8;dfgt2	0.467907755	0.092950963	0.604559477	0.768419842	0.819231433
abc9;dfg3	0.997866749	0.444459414	0.662364221	0.849856243	0.19642425
abc10;56	0.020047656	0.509059928	0.470971523	0.61525856	0.826304511
abc11	0.432811469	0.576298381	0.349032456	0.774576875	0.938686093
abc12	0.644797037	0.993333179	0.968642669	0.280499669	0.976066969
abc13	0.803957213	NaN	NaN	NaN	NaN
