N2-CTRL_01	N2-CTRL_02	N2-CTRL_03	paa1-CTRL_04	paa1-CTRL_05	paa1-CTRL_06	N2-6H-10C_07	N2-6H-10C_08	N2-6H-10C_09	paa1-6H-10C_10	paa1-6H-10C_11	paa1-6H-10C_12	N2-6H-10C-3D-4C-2HR_13	N2-6H-10C-3D-4C-2HR_14	N2-6H-10C-3D-4C-2HR_15	paa1-6H-10C-3D-4C-2HR_16	paa1-6H-10C-3D-4C-2HR_17	paa1-6H-10C-3D-4C-2HR_18	N2-6H-10C-3D-4C-24HR_19	N2-6H-10C-3D-4C-24HR_20	N2-6H-10C-3D-4C-24HR_21	paa1-6H-10C-3D-4C-24HR_22	paa1-6H-10C-3D-4C-24HR_24	Protein.Group
26.5725	26.632	26.632	24.918	25.0148	24.8811	26.5898	26.6181	26.6181	24.867	24.8997	24.8997	26.7389	26.604	26.0212	24.8904	24.8858	24.8997	26.632	26.6998	26.5898	24.9539	24.6918	Q09543
24.2463	24.3376	24.3712	22.7182	22.5213	22.5261	24.2535	24.2821	24.1871	22.6497	22.7634	22.4726	23.5165	24.3307	23.6431	22.1047	22.2933	22.2792	24.4362	24.4425	24.2891	22.5777	22.6231	Q9U3Q1
24.6096	24.4738	24.6431	24.0526	24.1015	23.9584	24.7846	24.8044	24.7945	24.2096	24.1253	24.1488	24.7645	24.7129	24.5638	23.9316	24.0105	23.9847	24.6649	24.867	24.7182	23.9495	23.848	Q21793
25.6348	25.6649	26.3083	22.6628	22.6231	22.3592	25.8927	25.5983	25.965	22.2332	23.3645	22.6518	25.3844	26.3427	25.0443	22.8764	22.8895	23.0275	26.7389	27.2714	26.518	23.3101	23.141	G5EE48
24.1174	24.1174	24.3511	22.4221	22.3239	22.391	23.632	23.5983	23.5983	22.2096	22.1642	21.7594	22.5892	22.3321	22.5189	21.4626	21.265	21.4425	22.6671	22.8708	23.0967	21.8461	22.2764	G5EDY3
24.945	24.7645	25.0275	23.5165	23.2821	23.3645	24.9539	24.8764	25.0148	23.5285	23.5165	23.6757	24.8093	24.6918	23.9495	23.019	23.2361	23.0292	24.7543	24.8858	24.7543	23.391	22.9777	G5EDR3
23.7695	23.6649	23.8385	23.087	23.0088	23.211	23.6971	23.7077	23.6431	23.3645	23.2361	23.2679	23.7182	23.9316	23.7492	23.2125	23.1488	23.3101	24.1095	24.1642	24.1174	23.4676	23.632	O02101
24.6757	24.3578	24.9271	22.4196	23.0122	22.8404	24.4614	24.1946	24.2961	22.2214	22.5731	22.3017	23.5045	24.4738	23.7492	22.5823	22.7327	22.632	24.9271	25.341	25.2891	23.0071	23.0105	Q17572
24.1488	23.9406	24.7286	20.417	NaN	21.265	24.3778	24.1253	24.1095	NaN	20.7796	21.0426	23.5285	24.417	22.9672	21.1332	21.5545	20.9812	25.0484	25.8142	25.5463	21.9316	21.5498	H2KZ06;H2KZ07
24.417	24.2821	24.4984	23.7796	23.8385	23.8858	24.4425	24.2021	24.2961	23.6096	23.5869	23.7492	24.4105	24.4298	24.0526	23.6096	23.391	23.6431	24.5285	24.5812	24.6595	23.7995	23.867	G5EBZ4;Q22516
26.1623	26.1984	26.1908	25.6918	25.9338	25.6375	26.0711	26.0505	26.1015	25.6292	25.6568	25.6998	26.3562	26.204	26.1642	25.7821	25.7771	25.7103	26.3118	26.3494	26.3049	25.9517	26.0547	Q9TYX1
31.1052	30.8534	31.1664	30.1483	30.5664	30.4234	30.9539	30.7453	31.0084	30.0349	30.4334	30.2535	31.1361	30.9814	30.9814	30.1239	30.2979	30.2647	31.4967	31.5618	31.7771	30.3303	30.3196	Q22979
25.5696	25.3545	25.6944	24.7234	24.9406	24.5983	25.5492	25.4583	25.3811	24.8336	24.8191	24.6649	25.452	25.0772	25.4676	24.5225	24.5404	24.7077	25.5315	25.7745	25.824	24.6649	24.6375	G5ED89
23.7594	23.6431	23.9933	23.1658	23.2821	23.1472	23.5983	23.5285	23.5754	22.9098	23.2051	23.0393	23.5165	23.5983	23.654	23.1946	23.1581	23.2155	24.1015	24.2243	24.1946	23.6757	23.7077	G5EEY5
25.3239	25.558	25.5898	24.3778	24.5696	24.1719	25.2821	25.3204	25.5195	24.2891	24.4041	24.3712	26.0338	25.5045	25.0854	24.2679	24.2535	24.3712	25.6209	25.8599	25.4457	24.3444	24.0443	O18178
25.7871	25.5014	25.9933	24.2891	24.9672	24.5345	25.8433	25.4984	25.7234	24.1871	24.5404	24.5754	26.3861	26.0338	25.2607	24.3778	24.5696	24.6153	26.7645	27.2353	27.0401	24.976	24.7234	O02155
26.1055	25.867	26.4394	24.4551	25.0317	24.8528	26.3256	25.9977	26.391	24.8858	25.0732	25.002	26.0233	26.521	25.3578	24.8904	25.1293	25.0443	26.8623	27.2625	26.8504	24.558	24.6865	P15796
25.3477	25.4984	25.4583	25.6891	25.6568	25.6348	25.5135	25.4738	25.5255	25.6998	25.7466	25.6703	25.5014	25.2643	25.452	25.7441	25.7645	25.7208	25.065	25.217	25.019	25.7771	25.7024	H2L049
23.0542	22.8034	23.5165	21.68	21.7348	21.3805	23.2361	23.0207	23.155	21.1704	21.68	21.8269	22.6209	23.5045	22.3725	21.0426	21.3699	21.7512	23.4551	23.976	23.7796	21.6671	21.7389	Q22096
24.632	24.5404	25.2058	NaN	21.6096	21.3645	24.5225	24.3376	24.6703	NaN	22.1238	21.953	22.9742	25.065	24.1015	22.4898	22.48	22.4576	25.9847	26.2679	25.9066	22.7655	22.3511	Q11174
22.417	21.9985	22.5237	21.4118	20.9171	21.2125	22.5938	22.3778	22.1111	20.8269	21.002	21.3156	22.5568	22.867	22.2849	21.2593	20.7715	21.6971	22.7655	23.4298	23.1719	20.895	20.2877	O62055
24.6595	24.6703	24.9043	24.1946	24.1871	24.141	24.604	24.6264	24.6865	24.2243	24.0854	24.2463	24.6811	24.8142	24.3712	24.1946	24.2679	24.2821	24.9495	25.0105	24.824	24.275	24.1719	G5EBZ4
22.5662	22.58	22.538	23.2535	23.2477	23.5869	22.5662	22.3619	22.3511	23.3376	23.184	23.5638	22.7955	22.8014	23.2821	23.7077	23.4923	23.4298	23.0493	23.3511	23.2021	24.1795	24.2463	Q965Z4
26.0833	26.329	26.2188	26.7129	26.6865	26.6865	26.2732	26.4892	26.2926	26.7129	26.5667	26.632	26.6865	26.9428	26.9088	27.5315	27.5315	27.4707	26.673	26.8741	26.6458	27.217	27.141	O45679
24.7286	24.9803	25.065	24.5045	24.4041	24.48	24.8904	24.7441	24.918	24.5463	24.6595	24.5345	24.9672	25.1174	25.0062	24.6971	24.6703	24.7492	25.3578	25.4138	25.3511	24.9271	24.9539	G5EF87;H8ESF3
23.6209	23.2361	23.5165	22.2096	22.8093	22.6628	23.4425	23.2821	23.3101	22.1916	22.4576	21.9243	23.3376	22.976	22.6387	22.3988	22.3184	22.3457	23.5404	23.8385	23.7695	22.4425	22.3511	Q19972
21.5869	21.8073	21.6453	21.2066	21.0951	21.2361	21.8191	21.7056	21.9207	21.4375	21.2989	21.6929	22.6209	22.1704	21.8987	20.4775	20.9742	21.0886	22.6843	23.5165	22.9061	20.4576	20.3211	Q18581
25.8361	25.6458	26.2077	24.8044	25.6012	25.0233	26.1332	25.8623	25.8834	24.6757	24.632	24.7945	26.1035	26.2553	25.5315	24.6757	24.7796	24.5045	26.4504	27.3828	27.0711	24.9361	24.8811	H2KZ73;H8W3Y1;Q8T3B7
23.4041	23.4298	23.5869	22.7816	22.9725	22.9024	23.3239	23.2405	23.2448	22.7735	22.9951	22.8538	23.632	23.4041	23.391	23.0476	22.8764	23.0886	23.5638	23.48	23.632	23.3239	23.4425	Q27474
26.2768	25.965	26.6181	24.7594	25.6292	25.2891	26.2679	26.0359	26.3256	25.1293	25.3273	25.0317	26.452	26.3828	25.8576	25.2499	25.3444	25.433	27.2445	27.6181	27.0084	25.7517	25.2891	P10771
22.6779	21.9916	22.6971	17.8995	20.1704	20.0691	23.087	22.8171	22.391	NaN	19.6438	19.0536	22.2419	23.5404	20.8727	19.4941	19.7895	19.283	23.9847	24.7389	23.9406	19.5383	19.0755	Q20778
22.5846	22.265	22.5915	23.5285	23.3239	23.4551	22.6971	22.5983	22.2332	23.5404	23.5165	23.4551	22.019	22.6209	23.2081	23.8288	23.7492	23.5522	21.8987	22.0325	22.3884	23.632	23.6971	Q23044
23.391	23.3101	23.48	23.1332	23.1901	23.2051	23.4041	23.3239	23.417	23.0426	23.1301	23.087	23.7286	23.4551	23.5638	23.2961	23.2448	23.2961	23.5983	23.5285	23.6649	23.2419	23.2243	P34537
