probe_set	_23_1CON	_23_2CON	_23_3NO0	_23_4NO7	_26_1CON	_26_2CON	_26_3NO0	_26_4NO7	CONTROL7	CONTROLZ	NO_7_5	NO_ZERO
Probe_1	9.776245	9.127334	8.304516	8.701171	10.57415	10.21575	10.45926	10.20152	7.884238	7.705964	7.502219	7.752729
Probe_2	10.00659	9.235627	8.185797	8.839409	11.05158	10.53989	10.77512	10.66046	7.992927	7.945578	6.811715	7.911506
Probe_3	9.254032	8.652096	7.869193	8.211509	10.40826	9.853157	10.04457	9.869173	7.62784	7.626176	6.751785	7.609578
Probe_4	10.72768	10.08474	9.374598	9.709146	11.43433	10.99901	11.29275	11.05114	8.790577	8.725741	8.321991	8.81531
Probe_5	10.81801	10.11681	9.431211	9.834365	11.42544	10.95131	11.32334	11.05498	8.990101	8.851421	8.256926	8.989028
Probe_6	10.8731	10.38837	9.898796	10.10966	11.59143	11.1426	11.51837	11.28736	9.276755	9.33258	9.017493	9.458181
Probe_7	12.37035	11.70965	11.17201	11.39946	12.72085	12.30798	12.67016	12.46203	10.81227	10.82351	11.01164	11.02658
Probe_8	13.39941	13.06709	12.8041	12.77213	13.55693	13.30328	13.52201	13.43909	12.27016	12.30439	12.31521	12.49729
Probe_9	13.4577	13.19339	13.15942	13.04829	13.47033	13.2791	13.52908	13.63407	12.75568	12.7248	12.84167	12.82143
Probe_10	6.694922	6.593007	6.241579	6.196847	7.166535	6.391055	7.128448	6.340995	6.222014	6.172295	6.063406	6.087278
Probe_11	6.261294	6.432672	6.304513	6.341424	5.80553	6.729186	6.917635	6.959527	6.194999	5.993305	6.156686	6.052644
Probe_12	7.015995	7.056876	7.070175	7.363101	6.964064	7.079943	6.979225	6.866994	7.463271	7.27178	6.070935	6.879816
Probe_13	4.191468	3.830134	2.729718	3.219793	4.356094	3.607318	3.514185	3.629531	2.3812	4.081075	4.613915	3.989066
Probe_14	5.943912	5.590374	5.659959	5.668675	6.125872	5.642121	5.763669	5.683682	6.149137	5.856702	5.958107	5.749746
Probe_15	6.776854	6.128821	6.317045	6.649184	7.115345	6.093433	6.600164	6.732853	6.463855	5.660341	5.947444	5.68069
Probe_16	5.994797	6.004326	5.989577	5.938674	6.405225	6.186168	5.725877	6.503447	5.748174	5.378695	6.925928	5.369152
Probe_17	9.020797	8.404741	8.836192	8.978127	9.542144	9.34207	9.575751	8.778751	8.565654	8.681888	9.353564	8.904499
Probe_18	6.178376	6.223799	6.292425	6.001016	3.452147	5.61946	6.35503	5.597388	5.565871	4.72381	2.259637	4.700573
Probe_19	6.695618	6.379741	6.895036	7.188945	6.833143	6.69286	7.536939	7.303689	6.803963	6.152384	6.253965	6.042386
Probe_20	5.134726	5.415039	5.225973	5.00313	5.3286	4.858777	5.848706	4.428343	4.814407	4.921055	5.054914	4.664005
Probe_21	7.9068	7.607611	7.33573	7.579565	8.948408	8.444149	7.950107	7.61843	7.770386	7.778925	9.219507	7.564592
Probe_22	7.089254	6.767814	6.62474	6.629454	5.975694	6.841684	6.110522	6.958553	6.885721	6.842325	5.960442	6.781858
Probe_23	5.338182	5.393464	5.188579	5.274277	4.381124	5.298831	5.053876	5.862942	5.394682	5.146338	4.03631	5.377113
Probe_24	9.106437	9.712482	9.678299	9.878036	8.466696	9.031911	9.271398	9.412669	9.041454	8.64844	8.518429	8.929797
Probe_25	7.568815	8.678998	8.367838	8.066057	7.297641	8.658258	7.826193	7.363942	8.690543	7.005434	8.185713	8.675929
Probe_26	9.400339	9.579983	9.625159	9.467485	9.193338	9.644101	9.241344	8.815422	9.643573	8.738839	9.957704	9.676923
Probe_27	9.005319	9.59523	9.413655	9.033489	8.669339	9.630709	9.122499	9.527383	9.4558	8.721926	8.713393	9.247154
Probe_28	10.85201	10.97491	10.80252	10.64422	11.20589	11.12812	11.3803	11.12263	10.69041	10.38663	10.45647	10.64005
Probe_29	6.75315	7.398855	8.612327	10.30118	8.446728	7.441575	8.594899	7.396091	7.150895	6.976891	7.980282	7.506946
Probe_30	7.129305	5.160936	9.619263	12.40599	8.625424	6.820907	11.13042	5.741861	4.731015	4.406591	4.999094	4.780866
Probe_31	7.843079	7.930844	8.497568	9.11844	9.011845	8.266768	8.650323	8.164158	8.982877	8.469959	9.547033	8.879059
Probe_32	13.56107	13.5173	13.63763	13.54873	13.42247	13.47968	13.46838	13.18137	13.52009	13.36129	13.54815	13.45229
Probe_33	13.36193	13.36722	13.47696	13.49289	13.20343	13.36419	13.34547	13.29694	13.3708	13.15086	13.33651	13.15772
