Mt-Cyb	Pmpcb;Uqcrc1	Uqcr10	Uqcrc1	Uqcrc2	Uqcrfs1	Uqcrh	Uqcrq	Fraction	Genotype
0	913721	78896.6	675503	751849	853229	27486.3	239777	1	WT
0	6540000	1380000	5450000	6360000	5840000	365712	1400000	2	WT
0	5720000	1230000	4730000	5790000	5260000	374212	1290000	3	WT
0	7290000	1450000	7860000	7570000	6210000	431445	2230000	4	WT
0	11500000	2600000	13000000	14500000	11300000	1030000	3630000	5	WT
0	17100000	3860000	13100000	21000000	15800000	977991	4900000	6	WT
0	48300000	13100000	66700000	67400000	54300000	4420000	16100000	7	WT
0	88245.7	10000000	47800000	47100000	40300000	2400000	15300000	8	WT
0	71400000	24800000	113000000	115000000	95100000	4790000	37300000	9	WT
0	90700000	31400000	137000000	145000000	119000000	8040000	51100000	10	WT
93668.5	76800000	30100000	35100000	121000000	109000000	6180000	44300000	11	WT
31654.9	110000000	46700000	87400000	172000000	155000000	8720000	66000000	12	WT
21336.1	115000000	45900000	173000000	164000000	166000000	9620000	66000000	13	WT
0	193000000	88200000	276000000	316000000	295000000	24600000	132000000	14	WT
81024.8	180000000	75200000	354000000	233000000	279000000	16300000	106000000	15	WT
367757	238000000	124000000	473000000	376000000	430000000	37200000	173000000	16	WT
474105	235000000	110000000	414000000	336000000	393000000	26700000	166000000	17	WT
998329	313000000	130000000	585000000	477000000	439000000	44300000	211000000	18	WT
386693	291000000	120000000	565000000	474000000	430000000	32000000	194000000	19	WT
145829	192000000	89700000	268000000	296000000	312000000	20300000	148000000	20	WT
503606	310000000	152000000	628000000	536000000	523000000	41400000	248000000	21	WT
471408	391000000	170000000	735000000	593000000	595000000	54100000	291000000	22	WT
1220000	532000000	230000000	1080000000	765000000	803000000	64800000	435000000	23	WT
370529	401000000	212000000	109000000	615000000	713000000	48900000	283000000	24	WT
7300000	1120000000	533000000	2020000000	1510000000	1570000000	126000000	969000000	25	WT
3340000	783000000	378000000	1570000000	1060000000	1170000000	85000000	733000000	26	WT
2510000	537000000	243000000	1050000000	657000000	801000000	60700000	453000000	27	WT
204226	239000000	111000000	154000000	290000000	388000000	27300000	198000000	28	WT
0	7800000	1620000	13200000	6040000	5700000	368730	2120000	29	WT
0	11700000	3510000	23600000	11300000	11700000	90507.8	4640000	30	WT
0	7780000	1520000	14000000	5560000	5330000	347246	2380000	31	WT
0	15600000	3740000	23600000	11800000	12800000	893739	5400000	32	WT
0	6840000	9430000	21900000	26100000	26400000	1240000	10200000	33	WT
82909.5	19700000	11000000	33700000	34900000	35700000	1750000	15300000	34	WT
125561	114000000	48600000	224000000	174000000	152000000	10000000	81500000	35	WT
0	143000000	50500000	149000000	176000000	167000000	9030000	79900000	36	WT
121694	491000000	295000000	242000000	867000000	866000000	57500000	374000000	37	WT
762111	1250000000	633000000	2220000000	1790000000	1890000000	161000000	1010000000	38	WT
0	24400000	5890000	65200000	29200000	21600000	1890000	10200000	39	WT
0	0	1010000	5710000	4400000	3920000	416303	1650000	40	WT
0	4730000	582478	12400000	3710000	6080000	0	869273	41	WT
21355.3	79300000	29500000	155000000	82400000	103000000	4430000	57500000	42	WT
2000000	236000000	119000000	487000000	355000000	362000000	19300000	224000000	43	WT
6120000	439000000	210000000	940000000	727000000	540000000	42000000	333000000	44	WT
1370000	59200000	22300000	73800000	61600000	53000000	6740000	27700000	45	WT
2140000	126000000	45100000	163000000	172000000	143000000	9760000	83800000	46	WT
0	1050000	153260	933934	1030000	1030000	0	283273	1	KO
0	5350000	430501	18200000	4830000	3450000	219115	1340000	2	KO
0	3160000	511021	2890000	2370000	2380000	126189	784092	3	KO
0	3140000	697028	18400000	3340000	2710000	168305	903555	4	KO
0	2690000	812046	2050000	3560000	3160000	108818	686769	5	KO
0	0	851080	10200000	4470000	4170000	285342	860571	6	KO
0	7680000	1730000	35000000	7710000	8320000	592925	2650000	7	KO
0	6790000	4130000	6600000	17100000	16600000	464238	1030000	8	KO
0	9870000	2720000	11900000	14700000	11700000	927193	4510000	9	KO
0	11400000	3870000	17100000	16500000	15400000	934502	5400000	10	KO
0	17600000	4990000	26800000	24400000	23300000	1250000	7320000	11	KO
0	15400000	5240000	9780000	24200000	22000000	973291	4690000	12	KO
92373.5	30200000	9320000	73600000	42800000	36900000	1880000	15300000	13	KO
0	31400000	11900000	44900000	47500000	47000000	3130000	15900000	14	KO
0	33100000	13300000	63700000	55100000	51400000	2590000	20700000	15	KO
0	45300000	20900000	69700000	77000000	81700000	5380000	26500000	16	KO
0	30500000	13500000	32900000	56300000	58400000	3560000	13800000	17	KO
0	54100000	28500000	53600000	86800000	105000000	8760000	31500000	18	KO
0	45500000	19900000	61500000	65000000	77100000	5400000	31600000	19	KO
0	16400000	13400000	49500000	52600000	52000000	3270000	25000000	20	KO
0	28700000	12800000	57500000	55700000	50200000	2300000	21200000	21	KO
79082.8	85100000	44500000	170000000	135000000	143000000	8960000	70100000	22	KO
0	88000000	45400000	180000000	157000000	149000000	8120000	68900000	23	KO
77231	104000000	58300000	152000000	176000000	194000000	10100000	89600000	24	KO
333808	210000000	120000000	299000000	339000000	363000000	19200000	170000000	25	KO
211837	117000000	59300000	252000000	193000000	197000000	10500000	94500000	26	KO
29642.9	31400000	12400000	36700000	46600000	49300000	2150000	19000000	27	KO
0	7900000	2060000	21100000	7510000	8270000	554575	3390000	28	KO
0	6250000	6080000	13600000	6040000	4420000	169692	2060000	29	KO
0	8900000	2900000	17600000	8880000	9020000	420175	4360000	30	KO
0	17400000	4720000	62700000	19500000	17000000	1280000	8360000	31	KO
0	11600000	4750000	20400000	14800000	17400000	921073	5870000	32	KO
174709	27400000	20300000	54600000	62000000	66900000	3750000	25900000	33	KO
58803.9	45600000	30600000	101000000	94300000	100000000	5920000	36200000	34	KO
52927.3	283000000	173000000	428000000	470000000	537000000	33700000	261000000	35	KO
143043	176000000	81600000	255000000	277000000	270000000	18100000	121000000	36	KO
2550000	559000000	611000000	1580000000	1810000000	1980000000	130000000	951000000	37	KO
12000000	2420000000	1650000000	4870000000	3530000000	4750000000	513000000	1970000000	38	KO
0	20900000	7390000	25200000	23700000	27600000	1670000	9320000	39	KO
0	18000000	6030000	31000000	18700000	19800000	1180000	6790000	40	KO
0	0	648561	4760000	1860000	4210000	351191	714760	41	KO
0	0	277196	5750000	867500	2870000	187116	322602	42	KO
0	11400000	4410000	10200000	14600000	13700000	825310	5560000	43	KO
3860000	276000000	152000000	593000000	564000000	402000000	43300000	254000000	44	KO
491359	57800000	23700000	109000000	80300000	57800000	4280000	26800000	45	KO
1410000	115000000	39500000	203000000	166000000	144000000	6730000	63200000	46	KO
