HumanGeneID	MouseOrthologGeneID	Symbol	Synonyms	Description	MitoCarta3.0_List	MitoCarta3.0_Evidence	MitoCarta3.0_SubMitoLocalization	MitoCarta3.0_MitoPathways	TrainingDataset	MitoCarta2.0_Score	MitoCarta2.0_FDR	MitoCarta2.0_List	MitoCarta2.0_Evidence	EnsemblGeneID_mapping_version_20200130	UniProt	ProteinLength	TargetP_Score	MitoDomain_Score	CoexpressionGnfN50_Score	PGC_Induction_Score	YeastMitoHomolog_Score	RickettsiaHomolog_Score	MSMS_Score	hg19_Chromosome	hg19_Start	hg19_Stop	MSMS_NUM_TISSUES	MSMS_NUM_PEPTIDES_UNIQUE	MSMS_NUM_SPECTRA	MSMS_TOTAL_INTENSITY	MSMS_PERCENT_COVERAGE	Tissues	cerebrum_total_peak_intensity_log10	cerebellum_total_peak_intensity_log10	brainstem_total_peak_intensity_log10	spinalcord_total_peak_intensity_log10	kidney_total_peak_intensity_log10	liver_total_peak_intensity_log10	heart_total_peak_intensity_log10	skeletalmuscle_total_peak_intensity_log10	adipose_total_peak_intensity_log10	smallintestine_total_peak_intensity_log10	largeintestine_total_peak_intensity_log10	stomach_total_peak_intensity_log10	placenta_total_peak_intensity_log10	testis_total_peak_intensity_log10	HPA_Main_Location_2020 (Reliability)
1537	66445	CYC1	MC3DN6|UQCR4	cytochrome c1	MitoCarta3.0	"literature, APEX_IMS, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	MIM	OXPHOS > Complex III > CIII subunits | Metabolism > Metals and cofactors > Heme-containing proteins | Metabolism > Electron carriers > Cytochromes | OXPHOS > OXPHOS subunits	Tmito	43.6442	0	1	"literature, APEX_IMS, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	ENSG00000179091	P08574	325	2	MitoDomain	49	1.24	OrthologMitoHighConf	Ortholog	50-75pure	chr8	145149937	145152430	14	19	2616	2.05E+11	50	all 14	10.3	10.1	10.4	10.2	10.2	10	10.4	9.8	10.1	10.2	10.2	10	10	9.8	Mitochondria (Supported)
6390	67680	SDHB	CWS2|IP|PGL4|SDH|SDH1|SDH2|SDHIP	succinate dehydrogenase complex iron sulfur subunit B	MitoCarta3.0	"literature, APEX_matrix, targetP signal+, yeast mito homolog, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	MIM	OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits	Tmito	43.2272	0	1	"literature, APEX_matrix, targetP signal+, yeast mito homolog, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	ENSG00000117118	P21912	280	1	MitoDomain	49	2.32	HomologMitoHighConf	Ortholog	75-100pure	chr1	17345224	17380665	14	34	1571	1.50E+11	82	all 14	9.9	9.6	9.9	10	10.1	10.2	10.3	9.2	10.1	10.3	9.9	9.9	10.1	9.9	Mitochondria (Supported)
10229	12850	COQ7	CAT5|CLK-1|CLK1|COQ10D8	"coenzyme Q7, hydroxylase"	MitoCarta3.0	"literature, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression++, MS/MS++"	MIM	Metabolism > Metals and cofactors > Coenzyme Q metabolism	Tmito	43.1028	0	1	"literature, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression++, MS/MS++"	ENSG00000167186	Q99807	217	1	MitoDomain	49		OrthologMitoHighConf	Ortholog	75-100pure	chr16	19078916	19091417	14	14	366	7.27E+09	81	all 14	8.7	8.5	8.7	8.5	8.9	9	8.6	8.7	8.8	8.6	9	8.7	8.3	8.3	Plasma membrane (Approved)
6389	66945	SDHA	CMD1GG|FP|PGL5|SDH1|SDH2|SDHF	succinate dehydrogenase complex flavoprotein subunit A	MitoCarta3.0	"literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++"	MIM	OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | OXPHOS > OXPHOS subunits	Tmito	42.9701	0	1	"literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++"	ENSG00000073578	P31040	664	1	SharedDomain	47	1.8	OrthologMitoHighConf	Ortholog	75-100pure	chr5	218355	256814	14	48	4919	5.29E+11	83	all 14	10.4	9.9	10.5	10.3	11	10.5	10.7	10.6	10.6	10.7	10.6	10.5	10.4	10.4	Mitochondria (Supported)
7384	22273	UQCRC1	D3S3191|QCR1|UQCR1	ubiquinol-cytochrome c reductase core protein 1	MitoCarta3.0	"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	MIM	"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits"	Tmito	42.9037	0	1	"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	ENSG00000010256	P31930	480	1	MitoDomain	49	1.55	OrthologMitoLowConf	Homolog	50-75pure	chr3	48636431	48647098	14	32	3377	2.56E+11	60	all 14	10.1	9.5	9.9	9.9	10.4	10	10.8	10.3	10.1	10.6	10.2	10.3	10.2	9.9	Mitochondria (Supported)
84274	52064	COQ5	-	"coenzyme Q5, methyltransferase"	MitoCarta3.0	"APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	MIM	Metabolism > Metals and cofactors > Coenzyme Q metabolism	Tmito	42.6477	0	1	"APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	ENSG00000110871	Q5HYK3	327	2	MitoDomain	41	2.95	OrthologMitoHighConf	Homolog	50-75pure	chr12	120941081	120966964	14	16	132	5.76E+09	65	all 14	8.5	8.3	8.3	8	8.6	8	8.8	8.2	9	9.2	8.8	8.3	7.8	7.5	Nucleoli (Uncertain)
5160	18597	PDHA1	PDHA|PDHAD|PDHCE1A|PHE1A	pyruvate dehydrogenase E1 subunit alpha 1	MitoCarta3.0	"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	Matrix	Metabolism > Carbohydrate metabolism > Pyruvate metabolism	Tmito	42.6	0	1	"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++"	ENSG00000131828	P08559	428	1	MitoDomain	45	1.13	OrthologMitoLowConf	Homolog	75-100pure	chrX	19362010	19379825	14	43	2251	1.48E+11	82	all 14	10.1	9.6	10	10	10.3	9.6	10.5	10	10.1	9.9	9.6	10	9.9	8.9	Mitochondria (Supported)
57017	67914	COQ9	C16orf49|COQ10D5	coenzyme Q9	MitoCarta3.0	"APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS++"	MIM	Metabolism > Metals and cofactors > Coenzyme Q metabolism	Tmito	42.3	0	1	"APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression, MS/MS++"	ENSG00000088682	O75208	318	1	MitoDomain	28	1.8	OrthologMitoHighConf	Ortholog	50-75pure	chr16	57481336	57495187	14	18	379	2.24E+10	50	all 14	9.3	8.6	8.9	9	9.3	9.1	9.8	8.6	9.5	9.2	9.2	9.1	8.7	8.8	
6182	56282	MRPL12	5c5-2|L12mt|MRP-L31/34|MRPL7|MRPL7/L12|RPML12	mitochondrial ribosomal protein L12	MitoCarta3.0	"literature, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++"	Matrix	Mitochondrial central dogma > mtRNA metabolism > Transcription | Mitochondrial central dogma > Translation > Mitochondrial ribosome	Tmito	42.0	0	1	"literature, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++"	ENSG00000262814	P52815	198	1	SharedDomain	42	1.98	OrthologMitoHighConf	Ortholog	50-75pure	chr17	79670399	79674556	14	14	634	2.77E+10	66	all 14	9.2	9.1	9.4	9	9.5	9.3	8.9	8.6	9.3	9.2	9.8	9	9.4	9	Mitochondria (Supported)
513	66043	ATP5F1D	ATP5D|MC5DN5	ATP synthase F1 subunit delta	MitoCarta3.0	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS+"	MIM	OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits	Tmito	42.0	0	1	"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS+"	ENSG00000099624	P30049	168	2	MitoDomain	49	1.75	OrthologMitoHighConf	Ortholog	25-50pure	chr19	1241748	1244824	14	6	939	1.42E+11	43	all 14	10.1	9.9	10.3	9.8	10.6	9.8	9.8	9.5	9.8	10.1	10	9.8	9.8	9.6	
