Simplified protein IDs	Gene name	MitoCoP disease association	Functional MitoCoP classification	MitoCoP	MitoCoP identified/ validated	MitoCoP identified	MitoCoP validated	MitoCoP disease gene	References	UniProt: involvement in disease	DisGeNET disease ID (curated associations)	OMIM	Phenotype MIM number	Half-live (HeLa) [h]	Half-life (Hu7) h	tomm40 Importomics	Mean Log2 Ratio tomm40KD/mock	p-Value	Mean mito-copies per cell (≥2/3 Reps)	Mean copy numbers per cell (≥2/3 Reps)	Category	Integral [%]	Membrane-associated [%]
P35270	SPR	Central nervous system;Metabolism	Cofactor metabolism	1	1		1	1		"DISEASE: Dystonia, DOPA-responsive, due to sepiapterin reductase deficiency (DRDSPRD) [MIM:612716]: A form of DOPA-responsive dystonia. In the majority of cases, patients manifest progressive psychomotor retardation, dystonia and spasticity. Cognitive anomalies are also often present. The disease is due to severe dopamine and serotonin deficiencies in the central nervous system caused by a defect in BH4 synthesis. Dystonia is defined by the presence of sustained involuntary muscle contractions, often leading to abnormal postures. {ECO:0000269|PubMed:11443547, ECO:0000269|PubMed:16650784, ECO:0000269|PubMed:17159114}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0005586;C0268468;C0525045	182125	612716	231.6693774	6007.447358	Class 1	-2.45515517	0.001493112	64821.28261	212577.3333	Peripheral	19.71307811	92.51709546
Q9NXH9	TRMT1	"Central nervous system;Ophthalmic system;Congenital anomalies and dysmorphisms, intrauterine abnormalities;Failure to thrive;Ears;Others"	tRNA related processes	1	1		1	1	"Blaesius K, Abbasi AA, Tahir TH, Tietze A, Picker-Minh S, Ali G, Farooq S, Hu H, Latif Z, Khan MN, Kaindl A. Mutations in the tRNA methyltransferase 1 gene TRMT1 cause congenital microcephaly, isolated inferior vermian hypoplasia and cystic leukomalacia in addition to intellectual disability. Am J Med Genet A. 2018 Nov;176(11):2517-2521. Davarniya B, Hu H, Kahrizi K, Musante L, Fattahi Z, Hosseini M, Maqsoud F, Farajollahi R, Wienker TF, Ropers HH, Najmabadi H. The Role of a Novel TRMT1 Gene Mutation and Rare GRM1 Gene Defect in Intellectual Disability in Two Azeri Families. PLoS One. 2015 Aug 26;10(8):e0129631. Zhang K, Lentini JM, Prevost CT, Hashem MO, Alkuraya FS, Fu D. An intellectual disability-associated missense variant in TRMT1 impairs tRNA modification and reconstitution of enzymatic activity. Hum Mutat. 2020 Mar;41(3):600-607. doi: 10.1002/humu.23976. Epub 2020 Jan 16. "			611669	618302	660.1499238	NaN	Class 1	-2.463735116	0.00025131	11697.391	237981.3333	Peripheral	14.84055705	82.84191012
P55265	ADAR	Central nervous system;Integumentary system	RNA-related processes	1	1	1		1		"DISEASE: Aicardi-Goutieres syndrome 6 (AGS6) [MIM:615010]: A form of Aicardi-Goutieres syndrome, a genetically heterogeneous disease characterized by cerebral atrophy, leukoencephalopathy, intracranial calcifications, chronic cerebrospinal fluid (CSF) lymphocytosis, increased CSF alpha-interferon, and negative serologic investigations for common prenatal infection. Clinical features as thrombocytopenia, hepatosplenomegaly and elevated hepatic transaminases along with intermittent fever may erroneously suggest an infective process. Severe neurological dysfunctions manifest in infancy as progressive microcephaly, spasticity, dystonic posturing and profound psychomotor retardation. Death often occurs in early childhood. {ECO:0000269|PubMed:23001123}. Note=The disease is caused by mutations affecting the gene represented in this entry.;DISEASE: Dyschromatosis symmetrica hereditaria (DSH) [MIM:127400]: An autosomal dominant pigmentary genodermatosis characterized by a mixture of hyperpigmented and hypopigmented macules distributed on the face and the dorsal parts of the hands and feet, that appear in infancy or early childhood. {ECO:0000269|PubMed:12916015, ECO:0000269|PubMed:15146470, ECO:0000269|PubMed:15659327}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0006142;C0023520;C0037773;C0393591;C0406775;C0543888;C0678222;C0795996;C0796126;C1257931;C1458155;C3489724;C3489725;C3539013;C3714756	146920	615010-127400	NaN	NaN	Class 1	-1.236371614	0.000809425	NaN	NaN	0	NaN	NaN
Q02241	KIF23	Gastrointestinal system;Hematologic system;Others	Other known processes	1	1	1		1	"Méndez M, Moreno-Carralero MI, Peri VL, Camacho-Galán R, Bosch-Benítez JM, Huerta-Aragonés J, Sánchez-Calero-Guilarte J, Moreno-Risco MB, Alonso-Domínguez JM, Morán-Jiménez MJ. Congenital dyserythropoietic anemia types Ib, II, and III: novel variants in the CDIN1 gene and functional study of a novel variant in the KIF23 gene. Ann Hematol. 2021 Feb;100(2):353-364. Liljeholm M, Irvine AF, Vikberg AL, Norberg A, Month S, Sandström H, Wahlin A, Mishima M, Golovleva I. Congenital dyserythropoietic anemia type III (CDA III) is caused by a mutation in kinesin family member, KIF23. Blood. 2013 Jun 6;121(23):4791-9. "			605064		NaN	NaN	Class 4	-0.796624025	0.093629679	74473.4292	166219.6667	Integral	65.45342317	91.28517196
Q13015	MLLT11	Tumors	Cell death/ apoptosis	1	1	1		1	"Tiberio P, Lozneanu L, Angeloni V, Cavadini E, Pinciroli P, Callari M, Carcangiu ML, Lorusso D, Raspagliesi F, Pala V, Daidone MG, Appierto V. Oncotarget. 2017 Apr 4;8(14):23246-23264. "	11)(q21;DISEASE: Note=A chromosomal aberration involving MLLT11 is found in acute leukemias. Translocation t(1;q23) with KMT2A/MLL1.	C0349639	604684		NaN	NaN	NaN	NaN	NaN	3084.907067	66078.26667	0	11.30593319	NaN
Q08J23	NSUN2	"Central nervous system;Congenital anomalies and dysmorphisms, intrauterine abnormalities;Failure to thrive;Skeletal system;Integumentary system"	tRNA related processes	1	1	1		1		"DISEASE: Mental retardation, autosomal recessive 5 (MRT5) [MIM:611091]: A disorder characterized by significantly below average general intellectual functioning associated with impairments in adaptive behavior and manifested during the developmental period. {ECO:0000269|PubMed:22541559, ECO:0000269|PubMed:22541562}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0175691;C1970199;C3714756	610916	611091	NaN	89.03320098	NaN	NaN	NaN	NaN	1055444.5	0	NaN	NaN
Q9H0P0	NT5C3A	"Central nervous system;Metabolism;Congenital anomalies and dysmorphisms, intrauterine abnormalities;Liver;Skeletal system;Hematologic system"	Nucleotide/ nucleoside metabolism	1	1	1		1		"DISEASE: P5N deficiency (P5ND) [MIM:266120]: Autosomal recessive condition causing hemolytic anemia characterized by marked basophilic stippling and the accumulation of high concentrations of pyrimidine nucleotides within the erythrocyte. It is implicated in the anemia of lead poisoning and is possibly associated with learning difficulties. {ECO:0000269|PubMed:11369620, ECO:0000269|PubMed:12930399, ECO:0000269|PubMed:15238149, ECO:0000269|PubMed:15604219, ECO:0000269|PubMed:15968458, ECO:0000269|PubMed:16461318, ECO:0000269|PubMed:18499901, ECO:0000269|PubMed:25153905}. Note=The disease is caused by mutations affecting the gene represented in this entry."	C0002882;C0010828;C0158995;C0263454;C1849507;C3714756	606224	266120	30.1336027	NaN	Class 3	-0.785470679	0.001078933	189346.016	190137	Peripheral	43.89216703	96.3432374
Q6GMV3	PTRHD1	Central nervous system;Peripheral nervous system	Unknown	1	1	1		1	"Kuipers DJS, Carr J, Bardien S, Thomas P, Sebate B, Breedveld GJ, van Minkelen R, Brouwer RWW, van Ijcken WFJ, van Slegtenhorst MA, Bonifati V, Quadri M. PTRHD1 Loss-of-function mutation in an african family with juvenile-onset Parkinsonism and intellectual disability. Mov Disord. 2018 Nov;33(11):1814-1819. Khodadadi H, Azcona LJ, Aghamollaii V, Omrani MD, Garshasbi M, Taghavi S, Tafakhori A, Shahidi GA, Jamshidi J, Darvish H, Paisán-Ruiz C. PTRHD1 (C2orf79) mutations lead to autosomal-recessive intellectual disability and parkinsonism. Mov Disord. 2017 Feb;32(2):287-291."			617342		303.000599	152.7042356	Class 1	-1.435862401	0.000487342	102171.5256	753008.3333	Peripheral	5.728249955	52.97879297
A0A087X0K9;H0YLT6	TJP1	Cardiovascular system	Unknown	1	1	1		1	"De Bortoli M, Postma AV, Poloni G, Calore M, Minervini G, Mazzotti E, Rigato I, Ebert M, Lorenzon A, Vazza G, Cipriani A, Bariani R, Perazzolo Marra M, Husser D, Thiene G, Daliento L, Corrado D, Basso C, Tosatto SCE, Bauce B, van Tintelen JP, Rampazzo A. Whole-Exome Sequencing Identifies Pathogenic Variants in TJP1 Gene Associated With Arrhythmogenic Cardiomyopathy. Circ Genom Precis Med. 2018 Oct;11(10):e002123."			601009		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
P06753	TPM3	"Central nervous system;Congenital anomalies and dysmorphisms, intrauterine abnormalities;Cardiovascular system;Pulmonary system ;Muscular system;Skeletal system"	Other known processes	1	1	1		1		"DISEASE: Cap myopathy 1 (CAPM1) [MIM:609284]: A rare congenital skeletal muscle disorder characterized by the presence of cap-like structures which are well demarcated and peripherally located under the sarcolemma and show abnormal accumulation of sarcomeric proteins. Clinical features are early onset of hypotonia and slowly progressive muscle weakness. Respiratory problems are common. {ECO:0000269|PubMed:18300303, ECO:0000269|PubMed:19487656, ECO:0000269|PubMed:19553118, ECO:0000269|PubMed:24239060, ECO:0000269|PubMed:24692096}. Note=The disease is caused by mutations affecting the gene represented in this entry.;DISEASE: Myopathy, congenital, with fiber-type disproportion (CFTD) [MIM:255310]: A genetically heterogeneous disorder in which there is relative hypotrophy of type 1 muscle fibers compared to type 2 fibers on skeletal muscle biopsy. However, these findings are not specific and can be found in many different myopathic and neuropathic conditions. {ECO:0000269|PubMed:18300303, ECO:0000269|PubMed:19953533, ECO:0000269|PubMed:20951040, ECO:0000269|PubMed:24692096}. Note=The disease is caused by mutations affecting the gene represented in this entry.;DISEASE: Nemaline myopathy 1 (NEM1) [MIM:609284]: A form of nemaline myopathy with autosomal dominant or recessive inheritance. Nemaline myopathies are disorders characterized by muscle weakness of varying onset and severity, and abnormal thread-like or rod-shaped structures in muscle fibers on histologic examination. Autosomal dominant NEM1 is characterized by a moderate phenotype with onset between birth and early second decade of life. Weakness is diffuse and symmetric with slow progression often with need for a wheelchair in adulthood. The autosomal recessive form has onset at birth with moderate to severe hypotonia and diffuse weakness. In the most severe cases, death can occur before 2 years. Less severe cases have delayed major motor milestones, and these patients may walk, but often need a wheelchair before 10 years. {ECO:0000269|PubMed:10587521, ECO:0000269|PubMed:17376686, ECO:0000269|PubMed:24692096, ECO:0000269|PubMed:7704029}. Note=The disease is caused by mutations affecting the gene represented in this entry.;DISEASE: Note=A chromosomal aberration involving TPM3 is found in papillary thyroid carcinomas (PTCs). A rearrangement with NTRK1 generates the TRK fusion transcript by fusing the amino end of isoform 2 of TPM3 to the 3'-end of NTRK1. {ECO:0000269|PubMed:2869410}."	C0001418;C0003886;C0007097;C0007102;C0009375;C0023893;C0024623;C0024667;C0024668;C0038356;C0040136;C0151468;C0175709;C0205641;C0205642;C0205643;C0205644;C0205645;C0205696;C0205697;C0205698;C0205699;C0206157;C0270960;C0334121;C0410203;C0410207;C0546125;C0546264;C0549473;C0752282;C1257925;C1708349;C1834558;C1836448;C2750414;C3645536;C3661489;C3710589;C3714994	191030	609284	NaN	133.9560015	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN
